Project name,Region,Country,Partners,OG_01,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Port of Aalborg terminal and pipeline to Fyrkat,Europe,Denmark,Capio Danmark,0,Transport,2022,,2026,,Planned,,4,4,CO2 transport,,NORNE,,,,,,,,,,,,,,
Port of Kalundborg terminal and pipeline to Trelleborg phase 1,Europe,Denmark,Capio Danmark,0,Transport,2022,,2026,,Planned,1,4,4,CO2 transport,,NORNE,,,,,,,,,,,,,,
Projects Trelleborg and Fyrkat (2 storage sites) phase 1,Europe,Denmark,Capio Danmark,0,Storage,2022,,2026,,Planned,1,2.3,2.6,CO2 storage,Dedicated storage,NORNE,,,,,,,,,,,,,,
Port of Kalundborg terminal and pipeline to Trelleborg phase 2,Europe,Denmark,Capio Danmark,0,Transport,2022,,2030,,Planned,2,8,8,CO2 transport,,NORNE,,,,,,,,,,,,,,
Projects Trelleborg and Fyrkat (2 storage sites) phase 2,Europe,Denmark,Capio Danmark,0,Storage,2022,,2030,,Planned,2,16.4,16.4,CO2 storage,Dedicated storage,NORNE,,,,,,,,,,,,,,
ClimAid Copenhagen Malmö Port Amager Bakke CO2 capture,Europe,Denmark,"Babcock & Wilcox, Copenhagen Port",0,Full chain,2020,,2025,,Planned,,0.5,0.5,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Project Bifrost Phase 1,Europe,Denmark,"Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",1,T&S,2021,,2030,,Planned,1,2,3,CO2 T&S,Dedicated storage,Project Bifrost,,,,,,,,,,,,,,
Project Bifrost Phase 2,Europe,Denmark,"Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",1,T&S,2021,,2032,,Planned,2,10,10,CO2 T&S,Dedicated storage,Project Bifrost,,,,,,,,,,,,,,
SHARC Neste,Europe,Finland,"Neste
Oyj",1,Capture,2021,,2025,,Planned,,,,Other fuel transformation,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Hynovi project (Vicat Montalieu plant),Europe,France,Vicat,0,CCU,2021,,2025,,Planned,,0.5,0.5,Cement,Use,,,,,,,,,,,,,,,
TotalEnergies Normandy hydrogen production unit,Europe,France,"TotalEnergies, Air Liquide",1,Capture,2021,,2030,,Planned,,0.65,0.65,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
PYCASSO hub phase 1 - eastern and western pipeline,Europe,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",0,T&S,2021,2025,2030,,Planned,1,2.5,2.5,CO2 T&S,Dedicated storage,PYCASSO hub,,,,,,,,,,,,,,
PYCASSO hub phase 2 - northern and cross-border pipeline,Europe,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",0,T&S,2021,2025,2035,,Planned,2,3.4,3.4,CO2 T&S,Dedicated storage,PYCASSO hub,,,,,,,,,,,,,,
K6 Program- Lumbres cement plant,Europe,France,"EQIOM, Air Liquide, France Industries, VDZ",0,Capture,2021,2026,2028,,Planned,,0.81,0.81,Cement,Dedicated storage,,,,,,,,,,,,,,,
D'Artagnan Dunkirk CO2 Hub Phase 1,Europe,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",0,Transport,2021,,2027,,Planned,1,3,3,CO2 transport,,D'Artagnan/Nautilus,,,,,,,,,,,,,,
D'Artagnan Dunkirk CO2 Hub Phase 2,Europe,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",0,Transport,2021,,2031,,Planned,2,1.4,1.4,CO2 transport,,D'Artagnan/Nautilus,,,,,,,,,,,,,,
D'Artagnan Dunkirk CO2 Hub Phase 3,Europe,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",0,Transport,2021,,2035,,Planned,3,5.6,5.6,CO2 transport,,D'Artagnan/Nautilus,,,,,,,,,,,,,,
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),Europe,France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies",1,Capture,2019,,2025,,Planned,1,1,1,Iron and steel,Unknown/unspecified,,,,,,,,,,,,,,,
Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),Europe,France,"Arcelor Mittal, Air Liquide",1,Capture,2020,,2030,,Planned,2,1,2.85,Iron and steel,Dedicated storage,,,,,,,,,,,,,,,
Air Liquide Total Energies Grandpuits biorefinery,Europe,France,"Air Liquide, Total Energies",1,CCU,2022,,,,Planned,,0.11,0.11,Other fuel transformation,Use,,,,,,,,,,,,,,,
CalCC Lhoist Air Liquide Lime plant Rety,Europe,France,"Air Liquide, Lhoist",0,Capture,2022,,2028,,Planned,,0.61,0.61,Other industry,Dedicated storage,D'Artagnan,,,,,,,,,,,,,,
ECO2Normandy phase 1,Europe,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",1,Transport,2023,,2028,,Planned,1,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus,,,,,,,,,,,,,,
ECO2Normandy phase 2,Europe,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",1,Transport,2023,,2031,,Planned,2,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus,,,,,,,,,,,,,,
ECO2Normandy phase 3,Europe,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",1,Transport,2023,,2036,,Planned,3,0.65,0.65,CO2 transport,,ECO2Normandy/Nautilus,,,,,,,,,,,,,,
Callisto phase 1,Europe,"France, Italy","Air Liquide, Snam, Eni, Elengy",1,Transport,2023,,2030,,Planned,1,3.6,3.6,CO2 transport,,Ravenna Hub,,,,,,,,,,,,,,
Callisto phase 2,Europe,"France, Italy","Air Liquide, Snam, Eni, Elengy",1,Transport,2023,,2040,,Planned,2,2.8,2.8,CO2 transport,,Ravenna Hub,,,,,,,,,,,,,,
CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Europe,Germany,Wintershall Dea,1,Transport,2022,,2028,,Planned,,10,10,CO2 transport,,CO2nnectNow HES Wilhelmshaven Tank Terminal,,,,,,,,,,,,,,
Wilhelmshaven Energy Hub BlueHyNow,Europe,Germany,Wintershall Dea,1,Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,WH2V eng hub,,,,,,,,,,,,,,
Rohm chemical plant (x2),Europe,Germany,"Rohm, Aker carbon capture",0,CCU,2023,,,,Planned,,0.5,0.5,Other industry,Use,,,,,,,,,,,,,,,
German carbon transport grid,Europe,Germany,"Open Grid Europe (OGE), TES",0,Transport,2022,2023,2028,,Planned,,18.8,25.8,CO2 transport,,German Carbon transport grid,,,,,,,,,,,,,,
H2morrow,Europe,Germany,"OGE, Equinor, Thyssenkrupp Steel Europe",1,Capture,2019,,2027,,Planned,,1.9,1.9,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),Europe,Germany,"Holcim Group, Hyscale100 consortium",0,CCU,2020,,2027,,Planned,,1,1,Cement,Use,,,,,,,,,,,,,,,
LafargeHolcim Hover cement works Hannover phase 2,Europe,Germany,"Holcim Group, Cool Planet Technologies",0,Capture,2021,,2024,,Planned,1,0.194,0.184,Cement,Unknown/unspecified,,,,,,,,,,,,,,,
LafargeHolcim Hover cement works Hannover phase 3,Europe,Germany,"Holcim Group, Cool Planet Technologies",0,Capture,2021,,2028,,Planned,2,0.8,0.8,Cement,Unknown/unspecified,,,,,,,,,,,,,,,
Heidelberg Materials's Hanover cement plant (LEILAC 2),Europe,Germany,"Heidelberg Materials, Calix",0,Capture,2021,2023,2025,,Planned,,0.1,0.1,Cement,Use,,,,,,,,,,,,,,,
H2GE Rostock,Europe,Germany,"Equinor, VNG",1,Capture,2022,,,,Planned,,2,2,Hydrogen/ammonia,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Carbon Clean CEMEX Rudersdorf plant phase 1,Europe,Germany,"CEMEX, carbon clean",0,CCU,2021,,2026,,Planned,1,0.1095,0.1095,Cement,Use,,,,,,,,,,,,,,,
Carbon Clean CEMEX Rudersdorf plant phase 2,Europe,Germany,"CEMEX, carbon clean",0,CCU,2021,,,,Planned,2,0.584,0.584,Cement,Use,,,,,,,,,,,,,,,
C Zero phase 1,Europe,Germany,"Air Liquide, Lhoist, Duisport",0,Transport,2023,,,,Planned,1,1.2,1.2,CO2 transport,,C Zero/Nautilus,,,,,,,,,,,,,,
C Zero phase 2,Europe,Germany,"Air Liquide, Lhoist, Duisport",0,Transport,2023,,,,Planned,2,1.2,1.2,CO2 transport,,C Zero/Nautilus,,,,,,,,,,,,,,
C Zero phase 3,Europe,Germany,"Air Liquide, Lhoist, Duisport",0,Transport,2023,,,,Planned,3,0.3,0.3,CO2 transport,,C Zero/Nautilus,,,,,,,,,,,,,,
Wintershell dea-Fluxys belgium-germany pipeline,Europe,"Germany, Norway","Wintershell dea, Fluxys",1,Transport,2023,,2030,,Planned,,30,30,CO2 transport,,Wintershell dea-Fluxys belgium-germany pipeline,,,,,,,,,,,,,,
Wintershall Dea-Equinor Gernany-Norway pipeline phase 1,Europe,"Germany, Norway","Wintershall Dea, Equinor",1,Transport,2022,,2032,,Planned,1,20,20,CO2 transport,,Wintershall Dea-Equinor Gernany-Norway pipeline,,,,,,,,,,,,,,
Wintershall Dea-Equinor Gernany-Norway pipeline phase 2,Europe,"Germany, Norway","Wintershall Dea, Equinor",1,Transport,2022,,2037,,Planned,2,20,20,CO2 transport,,Wintershall Dea-Equinor Gernany-Norway pipeline,,,,,,,,,,,,,,
Holcim Milaki Plant,Europe,Greece,Holcim Group,0,Capture,2023,,2027,,Planned,,1,1,Cement,Dedicated storage,Prinos CO2 storage,,,,,,,,,,,,,,
Prinos CCS phase 1,Europe,Greece,Energean,1,T&S,2021,,2025,,Planned,1,1,1,CO2 T&S,Dedicated storage,Prinos CO2 storage,,,,,,,,,,,,,,
Prinos sigma plant,Europe,Greece,Energean,1,Capture,2022,,2025,,Planned,,1,1,Natural gas processing,Dedicated storage,Prinos CO2 storage,,,,,,,,,,,,,,
Prinos CCS phase 1,Europe,Greece,Energean,1,T&S,2021,,2027,,Planned,2,2,2,CO2 T&S,Dedicated storage,Prinos CO2 storage,,,,,,,,,,,,,,
MOL Szank field CO2 EOR,Europe,Hungary,MOL group,1,Full chain,,,1992,,Operational,,0.16,0.16,Natural gas processing,EOR,,,,,,,,,,,,,,,
Climeworks Mammoth Project,Europe,Iceland,"Climeworks, Carbfix",0,Full chain,2022,2022,2024,,Under construction,,0.036,0.036,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Coda terminal Phase 1,Europe,Iceland,"Carbfix, Dan-unity CO2",0,T&S,2021,2023,2026,,Planned,1,0.5,0.5,CO2 T&S,Dedicated storage,Coda terminal,,,,,,,,,,,,,,
Coda terminal Phase 2,Europe,Iceland,"Carbfix, Dan-unity CO2",0,T&S,2021,,2028,,Planned,2,0.5,0.5,CO2 T&S,Dedicated storage,Coda terminal,,,,,,,,,,,,,,
Coda terminal phase 3,Europe,Iceland,"Carbfix, Dan-unity CO2",0,T&S,2021,,2031,,Planned,3,2,2,CO2 T&S,Dedicated storage,Coda terminal,,,,,,,,,,,,,,
Climeworks Orca,Europe,Iceland,"Climeworks, CarbFix",0,Full chain,,,2021,,Operational,,0.004,0.004,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Indian Oil Corporation Koyali refinery,Asia Pacific,India,"Indian Oil Corporation (IOCL), Dastur, Air Liquide and BEG for FEED",1,Full chain,2021,,2025,,Planned,,0.7,0.7,Other fuel transformation,EOR and use,,,,,,,,,,,,,,,
Dalstur Energy Coal India coal hydrogen,Asia Pacific,India,"Dalstur Energy (Kolkata), Coal India (CIL)",0,Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
Repsol Sakakemang Block carbon capture,Asia Pacific,Indonesia,"Repsol, Petronas, MOECO",1,Full chain,2021,2023,2027,,Planned,,1.5,2,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Jambaran Tiung Biru gas processing Sukowati oil field EOR,Asia Pacific,Indonesia,"Pertamina, Lemigas",1,Full chain,2020,2023,2028,,Planned,,0.9,2,Natural gas processing,EOR,,,,,,,,,,,,,,,
Gundih gas field EGR,Asia Pacific,Indonesia,"Pertamina, ITB, the Japan Group, Exxon?",1,Full chain,2020,,2026,,Planned,,0.3,0.3,Natural gas processing,EOR,,,,,,,,,,,,,,,
Balikpapan Refinery,Asia Pacific,Indonesia,"Pertamina, Air Liquide",1,Full chain,2022,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
Muara Enim Downstream Coal to Dimethyl Ether (DME) Project,Asia Pacific,Indonesia,Pertamina,1,Capture,2021,,2024,,Planned,,,,Other fuel transformation,EOR,,,,,,,,,,,,,,,
Arun CCS (Arun LNG),Asia Pacific,Indonesia,"PEMA, Tutuka Ariadji, Carbon Aceh",0,Full chain,2022,,2028,,Planned,,,,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Marubeni Pertamina pulp mill BECCS project,Asia Pacific,Indonesia,"Marubeni Corp, Pertamina",0,Capture,2022,,,,Planned,,,,Other industry,Dedicated storage,,,,,,,,,,,,,,,
"PT Panca Amara Utama (PAU) Banggai ammonia plant, Luwuk Central Sulawesi",Asia Pacific,Indonesia,"JOGMEC, Mitsubishi, PT Panca Amara Utama, ITB",0,Full chain,2021,,2028,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
Inpex Abadi LNG,Asia Pacific,Indonesia,"Inpex 65%, Shell (trying to find a buyer for its shares)",1,Capture,2018,,2030,,Planned,,2.413793103,2.413793103,Natural gas processing,Unknown/unspecified,,,,,,,,,,,,,,,
Tangguh LNG Vorwata LNG,Asia Pacific,Indonesia,"BP, Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC",1,Full chain,2021,2023,2027,,Planned,,2.5,3.3,Natural gas processing,EOR,,,,,,,,,,,,,,,
Ervia Cork CCS - Whitegate CCGT,Europe,Ireland,"Whitegate, Ervia Cork",1,Capture,2018,,2028,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS,,,,,,,,,,,,,,
Ervia Cork CCS - Irving refinery,Europe,Ireland,"Irving Oil, Ervia Cork",1,Capture,2018,,2028,,Planned,,2.5,2.5,Other fuel transformation,Unknown/unspecified,Ervia Cork CCS,,,,,,,,,,,,,,
Ervia Cork CCS -  Aghada CCGT,Europe,Ireland,"Aghata, Ervia Cork",0,Capture,2018,,2028,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS,,,,,,,,,,,,,,
Ravenna Hub phase 1,Europe,Italy,"Eni, Snam",1,T&S,2020,2023,2023,,Planned,1,0.025,0.025,CO2 T&S,Dedicated storage,Ravenna Hub,,,,,,,,,,,,,,
Ravenna Hub phase 2,Europe,Italy,"Eni, Snam",1,T&S,2020,2023,2027,,Planned,2,3.975,3.975,CO2 T&S,Dedicated storage,Ravenna Hub,,,,,,,,,,,,,,
ENI Casalborsetti (Ravenna) power plant (Ravenna phase 2),Europe,Italy,Eni,1,Capture,2020,,2027,,Planned,1,0.8,0.8,Power and heat,Dedicated storage,Ravenna Hub,,,,,,,,,,,,,,
ENI Venice bio-refinery Porto Marghera (Ravenna phase 2),Europe,Italy,Eni,1,Capture,2020,,2027,,Planned,,0.3,0.3,Other fuel transformation,Dedicated storage,Ravenna Hub,,,,,,,,,,,,,,
Buzzi Unicem Augusta cement plant,Europe,Italy,Buzzi Unicem Spa,0,Capture,2022,,,,Planned,,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage,,,,,,,,,,,,,,
Augusta C2 ,Europe,"Italy, Greece",Buzzi Unicem Spa,0,Transport,2022,,2029,,Planned,,0.2,0.2,CO2 transport,,Augusta-C2/Prinos CO2 storage,,,,,,,,,,,,,,
Niigata East Port CCUS Hub & Cluster,Asia Pacific,Japan,JAPEX,1,T&S,2022,,2030,,Planned,,,,CO2 T&S,Dedicated storage,Niigata East Port CCUS Hub & Cluster,,,,,,,,,,,,,,
Large-Scale and Wide-Area Carbon Capture and Storage,Asia Pacific,Japan,"ITOCHU, Mitsubishi HI, INPEX, Taisei",0,T&S,2023,,2030,,Planned,,,,CO2 T&S,Dedicated storage,Large-Scale and Wide-Area Carbon Capture and Storage,,,,,,,,,,,,,,
Tomakomai CCUS hub & cluster,Asia Pacific,Japan,"Idemitsu, Hokkaido Electric Power, JAPEX",1,Full chain,2023,,2030,,Planned,,,,CO2 T&S,Dedicated storage,,,,,,,,,,,,,,,
Eneos J-Power coal power capture,Asia Pacific,Japan,"Eneos Holdings, J-Power",1,Full chain,2022,2026,,,Planned,,,,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Tomakomai CCS demonstration project,Asia Pacific,Japan,Japan CCS,0,Full chain,2008,,2016,2019,Operational,,0.1,0.1,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Mikawa Power Plant BECCS Fukuoka Prefecture,Asia Pacific,Japan,"SIGMA Power Ariake (Toshiba), ESS",0,Capture,2016,2017,2020,,Operational,,0.18,0.18,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Donghae CCS Project,Asia Pacific,Korea,"SK Innovation, Honeywell Tech, Hyundai, Korea National Oil Corp.",1,Full chain,2022,2024,2026,,Planned,,0.4,0.4,Other fuel transformation,Dedicated storage,,,,,,,,,,,,,,,
Boryeong LNG Terminal blue hydrogen,Asia Pacific,Korea,SK E&S,0,Full chain,2022,,2025,,Planned,,0.15,0.15,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
"CCS Baltic Constium, Klapeida terminal",Europe,"Latvia, Lithuania",Kalipedos Nafta AB,0,Transport,2022,2024,2030,,Planned,,4,4,CO2 transport,,"CCS Baltic Constium, Klapeida terminal",,,,,,,,,,,,,,
Structure A&E,Africa,Lybia,"Eni, National Oil Corporation (NOC) Libya",1,Full chain,2023,,2026,,Planned,,,,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),Asia Pacific,Malaysia,"Petronas, Technip, National Petroleum Construction Company, Baker Hughes (compressor)",1,Full chain,2020,2022,2025,,Under construction,,3.3,3.3,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
H2biscus,Asia Pacific,Malaysia,"SEDC, Lotte Chemical, Samsung Engineering, POSCO
",0,Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
BIGST gas fiels Cluster Heads of Agreement,Asia Pacific,Malaysia,"Petronas, JX Nippon",1,Full chain,2022,,,,Planned,,,,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Dos Bocas refinery,South America,Mexico,Pemex,1,Capture,,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
Twence Hengelo facility,Europe,Netherlands,"Twence, Aker CC (tech)",0,CCU,2019,2021,2023,,Under construction,,0.1,0.1,Power and heat,Use,,,,,,,,,,,,,,,
Shell Energy and Chemicals Park Rotterdam biodiesel & SAF (former Pernis),Europe,Netherlands,Shell,1,Capture,2021,2021,2024,,Under construction,,0.38,0.38,Biofuels,Dedicated storage,Porthos,,,,,,,,,,,,,,
Yara Sluiskil fertiliser,Europe,Netherlands,Yara,0,Capture,2022,,2025,,Planned,,0.8,0.8,Other industry,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Aramis CCS phase 1,Europe,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",1,T&S,2019,2025,2027,,Planned,1,5,5,CO2 T&S,Dedicated storage,Aramis CCS,,,,,,,,,,,,,,
Aramis CCS phase 2,Europe,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",1,T&S,2019,,,,Planned,2,3,3,CO2 T&S,Dedicated storage,Aramis CCS,,,,,,,,,,,,,,
RWE Eemshaven power plant,Europe,Netherlands,RWE,0,Capture,2022,,2030,,Planned,,5.5,7,Power and heat,Dedicated storage,Noorkaap,,,,,,,,,,,,,,
RWE Amer power plant,Europe,Netherlands,RWE,0,Capture,2022,,2032,,Planned,,5.5,7,Power and heat,Dedicated storage,Noorkaap,,,,,,,,,,,,,,
"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Europe,Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",0,Transport,2022,,,,Planned,1,5,5,CO2 transport,,CO2TransPorts,,,,,,,,,,,,,,
"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Europe,Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",0,Transport,2022,,,,Planned,1,,,CO2 transport,,CO2TransPorts,,,,,,,,,,,,,,
Hydrogen 2 Magnum (H2M),Europe,Netherlands,"Nuon (Vattenfall sub.), Equinor, Gasunie",1,Capture,2017,,2025,,Planned,,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
L10 CCS,Europe,Netherlands,"Neptune, EBN & Rosewood Exploration & XTO Netherlands (Feasibility study)",1,T&S,2021,2023,2026,,Planned,,4,5,CO2 T&S,Dedicated storage,L10 CCS,,,,,,,,,,,,,,
Neptune Energy L10 Area CCS development phase 1,Europe,Netherlands,"Neptune Energy, EBN, Rosewood Exploration, and XTO Netherlands",1,T&S,2020,,,,Planned,1,5,5,CO2 T&S,Dedicated storage,Neptune Energy L10,,,,,,,,,,,,,,
Neptune Energy L10 Area CCS development phase 2,Europe,Netherlands,"Neptune Energy, EBN, Rosewood Exploration, and XTO Netherlands",1,T&S,2020,,,,Planned,2,3,3,CO2 T&S,Dedicated storage,Neptune Energy L10,,,,,,,,,,,,,,
H-vision plant 1,Europe,Netherlands,H-Vision consortium,0,Capture,2018,,2027,,Planned,1,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos,,,,,,,,,,,,,,
H-vision plant 2,Europe,Netherlands,H-Vision consortium,0,Capture,2018,,2030,,Planned,2,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos,,,,,,,,,,,,,,
Exxonmobil Botlek Rotterdam refinery,Europe,Netherlands,Exxonmobil,1,Capture,2019,,2024,,Planned,,,,Other fuel transformation,Dedicated storage,Porthos,,,,,,,,,,,,,,
Porthos phase 1,Europe,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",1,T&S,2018,2023,2025,,Planned,1,2.5,2.5,CO2 T&S,Dedicated storage,Porthos,,,,,,,,,,,,,,
Porthos phase 2,Europe,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",1,T&S,2018,,,,Planned,2,2.5,2.5,CO2 T&S,Dedicated storage,Porthos,,,,,,,,,,,,,,
Eemshaven port terminal (NoordKaap) phase 1,Europe,Netherlands,"Cape Omega, Neptune Energy",1,T&S,2023,,2028,,Planned,1,8,8,CO2 T&S,Dedicated storage,Noorkaap,,,,,,,,,,,,,,
Zeeland Refinery,Europe,Netherlands,"Air Liquide, TotalEnergies",1,Capture,2021,,,,Planned,,0.8,0.8,Other fuel transformation,Dedicated storage,,,,,,,,,,,,,,,
Air Liquide Botlek Rotterdam refinery,Europe,Netherlands,Air Liquide,0,Capture,2012,2023,2024,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos,,,,,,,,,,,,,,
Shell heavy residue gasification CCU - Pernis refinery,Europe,Netherlands,Shell,1,CCU,,,1997,,Operational,,0.4,0.4,Other fuel transformation,Use,,,,,,,,,,,,,,,
Delta Rhyne Corridor_CO2,Europe,"Netherlands, Germany","Shell, Port of Rotterdam, bp, RWE, thyssenkrupp, LyondellBasell, Heidelberg Materials, Attero and Chemelot",1,Transport,2021,2024,2027,,Planned,,14.9,14.9,CO2 transport,,Connected to German Carbon Grid,,,,,,,,,,,,,,
Project Pouakai Hydrogen Production with CCS,Asia Pacific,New Zealand,"8Rivers, Toshiba, McDermott, Exelon, Oxy",0,Full chain,2018,,2024,,Planned,,1,1,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
Northern Lights Phase 1,Europe,Norway,"Shell, TotalEnergies, Equinor, Yara Slusiskil (Source of CO2) ",1,T&S,2017,2020,2024,,Under construction,1,1.5,1.5,CO2 T&S,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Norcem Brevik,Europe,Norway,"Norcem, Aker CC (tech)",0,Capture,2016,2020,2024,,Under construction,,0.4,0.4,Cement,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Oslo Waste to Energy Capture Klemetsrud,Europe,Norway,Hafslund Oslo Celsio (formerly Fortum Oslo Varme),0,Capture,2016,2022,2025,,Under construction,,0.4,0.4,Power and heat,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Wintershall Dea Luna storage,Europe,Norway,"Wintershall Dea (60%), CapeOmega (40%)",1,Storage,2022,2025,,,Planned,,5,5,CO2 storage,Dedicated storage,Wintershall dea Luna,,,,,,,,,,,,,,
Trudvang storage project,Europe,Norway,"Sval (40%), Storegga (30%), Netptune energy (30%)",1,T&S,2023,,2029,,Planned,,9,9,CO2 T&S,Dedicated storage,Trudvang storage project,,,,,,,,,,,,,,
Climeworks Norsk e fuel phase 1,Europe,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",0,CCU,2020,2023,2024,,Planned,1,0.03,0.03,Direct Air Capture,Use,,,,,,,,,,,,,,,
Climeworks Norsk e fuel phase 2,Europe,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",0,CCU,2020,,2026,,Planned,2,0.03,0.03,Direct Air Capture,Use,,,,,,,,,,,,,,,
Climeworks Norsk e fuel phase 3,Europe,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",0,CCU,2020,,2029,,Planned,3,0.17,0.17,Direct Air Capture,Use,,,,,,,,,,,,,,,
CO2 TO METHANOL Finnfjord Ferrosilicon,Europe,Norway,"Statkraft, Carbon Recycling International",0,CCU,2017,2023,,,Planned,,0.3,0.3,Iron and steel,Use,,,,,,,,,,,,,,,
Northern Lights Phase 2,Europe,Norway,"Shell, TotalEnergies, Equinor",1,T&S,2017,,2026,,Planned,2,3.7,3.7,CO2 T&S,Dedicated storage,Northern Lights,,,,,,,,,,,,,,
Lyse Forus Energigjenvinning Stavanger ,Europe,Norway,"Lyse, Forus Energi, Aker CC (tech)",0,Capture,2021,,2024,,Planned,,0.1,0.1,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Errai storage project,Europe,Norway,"Horisont Energi, Neptune Energy",1,Storage,2021,2024,2026,,Planned,,4,8,CO2 storage,Dedicated storage,Errai storage project/Nautilus,,,,,,,,,,,,,,
Polaris offshore storage facility,Europe,Norway,"Horisont Energi, Fertiberia ",0,Storage,2021,2023,,,Planned,,,,CO2 storage,Dedicated storage,Polaris offshore storage facility,,,,,,,,,,,,,,
